,title_source,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids,title
49,Extinction risk from climate change,"Chris D. Thomas, Alison Cameron, Rhys E. Green, Michel Bakkenes, Linda J. Beaumont, Yvonne C. Collingham, Barend F. N. Erasmus, Marinez Ferreira de Siqueira, Alan Grainger, Lee Hannah, Lesley Hughes, Brian Huntley, Albert S. van Jaarsveld, Guy F. Midgley, Lera Miles, Miguel A. Ortega-Huerta, A. Townsend Peterson, Oliver L. Phillips, Stephen E. Williams",Springer Nature,2004-01,10.1038/nature02121,pub.1034096020,"Climate change over the past ∼30 years has produced numerous shifts in the distributions and abundances of species1,2 and has been implicated in one species-level extinction3. Using projections of species' distributions for future climate scenarios, we assess extinction risks for sample regions that cover some 20% of the Earth's terrestrial surface. Exploring three approaches in which the estimated probability of extinction shows a power-law relationship with geographical range size, we predict, on the basis of mid-range climate-warming scenarios for 2050, that 15–37% of species in our sample of regions and taxa will be ‘committed to extinction’. When the average of the three methods and two dispersal scenarios is taken, minimal climate-warming scenarios produce lower projections of species committed to extinction (∼18%) than mid-range (∼24%) and maximum-change (∼35%) scenarios. These estimates show the importance of rapid implementation of technologies to decrease greenhouse gas emissions and strategies for carbon sequestration.","We thank the following for many contributions: E. Bolitho, V. Perez Canhos, D. A. L. Canhos, S. Carver, S. L. Chown, S. Fox, M. Kshatriya, D. Millar, A. G. Navarro-Sigüenza, R. S. Pereira, B. Reyers, E. Martínez-Meyer, V. Sánchez-Cordero, J. Soberón, D. R. B. Stockwell, W. Thuiller, D. A. Vieglais and K. J. Wessels, researchers involved in the Projeto de Cooperação Técnica Conservação e Manejo da Biodiversidade do Bioma Cerrado, EMBRAPA Cerrados, UnB, Ibama/DFID e RBGE/Reino Unido, and the European Bird Census Council. We thank G. Mace, J. Malcolm and C. Parmesan for valuable discussions, many funding agencies for support, and B. Orlando and others at IUCN for bringing together many of the coauthors at workshops. Comments from J. A. Pounds and S. Pimm greatly improved the manuscript.Authors&#x27; contributions The fourth and subsequent authors are alphabetically arranged and contributed equally.",Nature,427,6970,4783,"['Animals', 'Biodiversity', 'Carbon', 'Conservation of Natural Resources', 'Geography', 'Greenhouse Effect', 'Models, Theoretical', 'Risk Assessment', 'Species Specificity', 'Time Factors']","['pub.1098688027', 'pub.1021819037', 'pub.1023288455', 'pub.1051074152', 'pub.1008776006', 'pub.1047570197', 'pub.1031026268', 'pub.1052937339', 'pub.1037857261', 'pub.1047894711', 'pub.1024910467', 'pub.1021465920', 'pub.1019728004', 'pub.1031353654', 'pub.1046506269', 'pub.1004699563', 'pub.1029728266', 'pub.1070098792', 'pub.1025559399', 'pub.1050580431', 'pub.1062447179', 'pub.1041902400', 'pub.1041299542', 'pub.1010899654', 'pub.1015373912']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
50,Brief report: Effects of informational feedback on aluminum can recycling,"Michael E. Larson, Daniel Houlihan, Phillip N. Goernert",Wiley,1995-04,10.1002/bin.2360100207,pub.1047562392,"The impact of informational feedback on the depositing of aluminum cans in recycling receptacles at a medium-sized university was investigated. Informational signs were placed over 20-recycling receptacles in three academic buildings. Each informational sign was placed at eye level, with the number of aluminum cans deposited for recycling during the previous week displayed in red digits. A 65% increase in the number of aluminum cans deposited in recycling receptacles with the informational signs was observed. Furthermore, removal of the informational signs was observed to reliably decrease the number of aluminum cans deposited. These results are discussed in the context of employing feedback to increase environmental protection behaviors.",,Behavioral Interventions,10,2,9,,"['pub.1007491773', 'pub.1018171405', 'pub.1014252983', 'pub.1028049755', 'pub.1059641514', 'pub.1037618143', 'pub.1016649598', 'pub.1014276234', 'pub.1043196149', 'pub.1017377476', 'pub.1021671565', 'pub.1033600099', 'pub.1020982095']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
51,GASOLINE CONSERVATION: A PROCEDURE FOR MEASURING AND REDUCING THE DRIVING OF COLLEGE STUDENTS,"R M Foxx, D F Hake",Wiley,1977,10.1901/jaba.1977.10-61,pub.1012071573,"The study sought to motivate college students to reduce the number of miles they drove each day and thus save gasoline. Students in two psychology classes were divided by class into two groups. The experimental group was offered various combinations of prizes such as cash, a tour of a mental-health facility, car servicing, and a university parking sticker for reducing driving. The value of the prize received was scaled in terms of per cent reduction in driving. The contrast group received no inducements. The condition in which the experimental group's mileage reduction was reinforced was counterbalanced by two baseline conditions. Several special recording procedures were used to reduce and detect the possibility of subjects altering their odometers, the source of the driving data. Experimental subjects reduced their average daily mileage by 20% relative to the initial baseline; the contrast group did not change. During the one-month reinforcement condition, the 12 experimental subjects saved some 170 gallons (worth $102) of gasoline.",,Journal of Applied Behavior Analysis,10,1,46,,"['pub.1002820121', 'pub.1041250181', 'pub.1026460447']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
52,REDUCTION OF RESIDENTIAL CONSUMPTION OF ELECTRICITY THROUGH SIMPLE MONTHLY FEEDBACK,"Steven C. Hayes, John D. Cone",Wiley,1981,10.1901/jaba.1981.14-81,pub.1043196149,"Feedback has been widely used in efforts to control the consumption of electricity. Previous efforts, however, have used forms of feedback that seem economically impractical. The present study examined the effects of a feasible program of monthly feedback. Forty matched nonvolunteer participants were randomly divided into two groups: a no-contact control group and a monthly feedback group. In an A-B-A design, the data showed a clear decrease in electricity consumption for the feedback group during the feedback phase. The effect was maintained during a 4-mo intervention period. Withdrawal of the feedback was associated with a return to higher levels of electricity consumption.",,Journal of Applied Behavior Analysis,14,1,72,,"['pub.1004343144', 'pub.1046053530', 'pub.1037226530', 'pub.1007491773', 'pub.1032482586', 'pub.1008832653', 'pub.1000552121', 'pub.1031563563', 'pub.1029659265', 'pub.1020982095', 'pub.1069273743']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
53,REDUCING HOUSEHOLD ENERGY CONSUMPTION: A QUALITATIVE AND QUANTITATIVE FIELD STUDY,"Gwendolyn Brandon, Alan Lewis",Elsevier,1999-03,10.1006/jevp.1998.0105,pub.1026362560,"One hundred and twenty households in Bath, U.K., had their energy consumption monitored over a 9-month period and compared (weather-corrected) to the previous year's consumption. Participants (with the exception of the control group) received feedback in various forms, i.e. consumption compared to previous consumption or to similar others; energy saving tips in leaflets or on a computer; or feedback relating to financial or environmental costs. Respondents were interviewed after the start of the study to establish their income, socio-demographic status, environmental attitudes and the extent to which they already engaged in conserving activities. Participants also took part in focus groups after the final meter readings were taken. Overall the results indicated that income and demographic features predicted historic energy consumption but not changes in consumption during the field study, where environmental attitudes and feedback were influential. Of all the feedback groups, the installation of computers helped reduce consumption most markedly. Furthermore, people with positive environmental attitudes, but who had not previously been engaged in many conservation actions, were more likely to change their consumption subsequent to the feedback period. Recommendations are made both for energy conservation policy and future research.",,Journal of Environmental Psychology,19,1,316,,,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
54,ENERGY SAVINGS IN INTERSTATE TRANSPORTATION THROUGH FEEDBACK AND REINFORCEMENT,"Alex Runnion, Jesse O Watson, John McWhorter",Taylor & Francis,1978-11-28,10.1300/j075v01n03_02,pub.1000286484,,,Journal of Organizational Behavior Management,1,3,25,,,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
55,Comparing interventions to motivate work-site collection of home-generated recyclables,"Lawrence D. Needleman, E. Scott Geller",Wiley,1992-12-01,10.1007/bf01312607,pub.1053368377,"Compared the efficacy of eight different intervention strategies to increase the work-site delivery of employees' home-generated recyclables. The interventions incorporated appeals, reciprocity, goals plus feedback, and raffles. Results indicated that relatively few employees participated during any phase of the 25-week program. Raffles of prizes donated by community businesses were the only effective intervention, motivating substantial deliveries of aluminum cans. This suggests that low-cost, impersonal interventions targeting employees' delivery of recyclables to work are not effective. Reasons for the low participation rates are discussed as well as suggestions for improving future corporate-based recycling programs.",,American Journal of Community Psychology,20,6,17,,"['pub.1024368052', 'pub.1034405235', 'pub.1000173596', 'pub.1018171405', 'pub.1004112041', 'pub.1050566133', 'pub.1058528119', 'pub.1043586478', 'pub.1043847598']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
56,Social values and cooperative response to a simulated resource conservation crisis,"Roderick M Kramer, Charles G McClintock, David M Messick",Wiley,1986-09,10.1111/j.1467-6494.1986.tb00413.x,pub.1050617223,"The present study examined the relationship between individuals social motives or values and their level of cooperation during a simulated resource conservation crisis Prior to the resource task, a decomposed game procedure was used to classify subjects as cooperatively or noncooperatively oriented Subjects, in groups of six, were led to believe that they shared access to a replenishing resource pool via a system of linked computer terminals Across a series of trials, subjects had to choose between maximizing their own short-term gain and exercising personal restraint to preserve the collective resource False feedback about the group's use of the resource and the rate at which it was replenished was varied to indicate either that the resource was being sustained or that collective overuse was rapidly depleting it As predicted, cooperatively oriented individuals responded to resource depletion with greater self-restraint than did those classified as noncooperators Analvsis of pretrial and posttrial data indicated that social values were also related to individuals expectations about the task and perceptions of others",,Journal of Personality,54,3,154,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
57,The Tragedy of the Commons,Garrett Hardin,American Association for the Advancement of Science (AAAS),1968-12-13,10.1126/science.162.3859.1243,pub.1037087187,The population problem has no technical solution; it requires a fundamental extension in morality.,,Science,162,3859,14726,,"['pub.1056615695', 'pub.1030285233', 'pub.1062492596', 'pub.1062477740', 'pub.1083618784']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
58,VOLUNTARY CONTRIBUTION GAMES: EFFICIENT PRIVATE PROVISION OF PUBLIC GOODS,"Mark Bagnoli, Michael Mckee",Wiley,1991-04,10.1111/j.1465-7295.1991.tb01276.x,pub.1036023593,"This paper reports on a series of laboratory experiments designed to evaluate a mechanism for the voluntary provision of public good. The public good is provided if the total contributions meet or exceed a threshold and all contributions are returned if the public good is not provided. The members of the group all know the threshold, the incomes, and the valuations assigned the public good by all other members. The results support the prediction that this mechanism will yield Pareto efficient outcomes and suggest that economic agents adopt strategies which form equilibria satisfying certain refinements to the Nash equilibrium.",,Economic Inquiry,29,2,217,,"['pub.1069651192', 'pub.1029749661', 'pub.1049450331', 'pub.1058751563', 'pub.1031357148', 'pub.1019855998', 'pub.1031654728', 'pub.1069868910', 'pub.1069639792', 'pub.1069990057', 'pub.1027116397', 'pub.1019337639', 'pub.1031980307', 'pub.1058751345', 'pub.1063626127', 'pub.1034930656', 'pub.1058751446', 'pub.1045687331', 'pub.1069652179', 'pub.1033036737', 'pub.1021312588']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
59,"Role of Interdependence Structure, Individual Value Orientation, and Another&#x27;s Strategy in Social Decision Making: A Transformational Analysis","Charles G. McClintock, Wim B. G. Liebrand",American Psychological Association (APA),1988,10.1037/0022-3514.55.3.396,pub.1014031821,"The present research examined the influence of the objective interdependence structure of tasks, the values of decision makers, and others' strategies on social decision making and judgment. We observed that subjects' preferences among outcome alternatives that influenced both their own and another's welfare were strongly conditioned by their value orientations and by their expectations concerning the other person's choice behavior. As anticipated, there was no main effect for task structure, but structure interacted with value and with the other's strategy to influence choice behavior. Further, we observed that subjects judged others pursuing a tit-for-tat or a cooperative strategy as fairer and more honest than those pursuing a competitive strategy. They judged others pursuing a tit-for-tat strategy as more intelligent and stronger than those playing cooperatively or competitively.",,Journal of Personality and Social Psychology,55,3,265,,"['pub.1050617223', 'pub.1040529180', 'pub.1003400446', 'pub.1008236689', 'pub.1063625956', 'pub.1024201863', 'pub.1037103353', 'pub.1039202528', 'pub.1063625779', 'pub.1004623914', 'pub.1026785235', 'pub.1050711283', 'pub.1058543627', 'pub.1046123413', 'pub.1041887052', 'pub.1023674877', 'pub.1070805958', 'pub.1063625683', 'pub.1063625957', 'pub.1002311135', 'pub.1005537719', 'pub.1026831483', 'pub.1026304523', 'pub.1012578594', 'pub.1050942135', 'pub.1049051451', 'pub.1022932272', 'pub.1046714503', 'pub.1016202257', 'pub.1013702671', 'pub.1025122948', 'pub.1036089586', 'pub.1043625857']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
60,Research Paradigms and Expected Utility Models for the Provision of Step-Level Public Goods,Amnon Rapoport,American Psychological Association (APA),1987,10.1037/0033-295x.94.1.74,pub.1013955276,"Three research paradigms for studying the provision of step-level public goods are examined. In the “fear plus greed” paradigm, each of the players receives a monetary endowment and then may choose independently and anonymously whether to contribute it to a monetary public good. The good is supplied to all n players if m or more players contribute (1 < m < n − 1). In the “no fear” paradigm, the opportunity to free ride is maintained, but a protection from having one's contribution wasted is provided, whereas in the “no greed” paradigm it is possible to waste one's contribution, but not to free ride. Decision policies maximizing expected utility are derived for all three paradigms under a homogeneity assumption postulating that a player expects each of the other n − 1 group members to contribute with a fixed probability p and a heterogeneity assumption asserting that the n − 1 p s are independently sampled from a subjective probability distribution over the interval [0, 1]. Testable predictions relating “fear,” “greed,” and expectations about the decisions of others are derived and discussed.",,Psychological Review,94,1,56,,"['pub.1069623433', 'pub.1058546435', 'pub.1022061026', 'pub.1058300184', 'pub.1058546592', 'pub.1031873810', 'pub.1058300210', 'pub.1001878944', 'pub.1028836156', 'pub.1052933138', 'pub.1061793052', 'pub.1033036737', 'pub.1027152293', 'pub.1031654728', 'pub.1027116397']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
61,Provision of Step-Level Public Goods with Uncertain Provision Threshold and Continuous Contribution,"Ramzi Suleiman, David V. Budescu, Amnon Rapoport",Springer Nature,2001-05,10.1023/a:1011205901283,pub.1009109811,"Common to most theoretical and empirical research on public goods is the assumption that the parameters of the game are common knowledge. Recent theoretical and empirical studies have questioned this assumption by arguing that many public goods situations are characterized by uncertainty regarding various aspects of the situation. In particular, Suleiman (1997) argued that members of production groups of step-level public goods are often uncertain about the value of the provision threshold. For this type of uncertainty he proposed three distinct models to account for the individual's contribution.The present study reports the results of an experiment designed primarily to test and contrast the predictions derived from two of these models – a subjective expected utility model and a cooperative model – regarding the effects of threshold uncertainty on contribution for the provision of step-level public goods. Other goals of the study were to test the joint effect of the threshold uncertainty level, and its mean (low vs. high), on contribution, and to examine the effect of threshold uncertainty on the individuals' estimates regarding the contributions of other group members.The results show that the effect of threshold uncertainty is moderated by the threshold mean: Contribution to the public good increased as a function of uncertainty for the lower threshold mean, and decreased (though not significantly) for the higher threshold mean. In contrast, for the two threshold means the subjects' estimates of the mean and variability of others' contribution increased with threshold uncertainty.The models' comparison revealed that the cooperative model was superior to the subjective expected utility model. This result adds to a substantial body of research on social dilemmas showing that under conditions of social (strategic) uncertainty, group members tacitly coordinate their choice behavior by anchoring their decisions on rules of fairness.",,Group Decision and Negotiation,10,3,25,,"['pub.1004304105', 'pub.1013955276', 'pub.1024092571', 'pub.1031873810', 'pub.1033196019', 'pub.1021010490', 'pub.1041620738', 'pub.1047278741', 'pub.1029749661', 'pub.1028556807', 'pub.1027042951', 'pub.1042723142', 'pub.1002773156', 'pub.1034582388', 'pub.1005550954', 'pub.1053479307', 'pub.1069989874', 'pub.1001062742', 'pub.1063626359', 'pub.1034681505', 'pub.1052198485', 'pub.1000943781', 'pub.1026897379', 'pub.1052347650', 'pub.1003582860', 'pub.1042595885', 'pub.1054081587', 'pub.1053765304', 'pub.1009184830', 'pub.1032406895', 'pub.1033036737', 'pub.1033808907', 'pub.1037160195', 'pub.1021312588']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
62,Effects of Protocol of Play and Social Orientation on Behavior in Sequential Resource Dilemmas,"David V. Budescu, Tung Au, Xiao-Ping Chen",Elsevier,1997-03,10.1006/obhd.1997.2684,pub.1004025606,"We report results of an experiment in which we examined consumption behavior of groups of players sharing a common resource pool under four distinct protocols of play. Under thesimultaneousprotocol all subjects make their requests simultaneously. In the other three protocols, players make requests, one at a time, but with various types and levels of information about the process: In thesequentialprotocol, subjects make requests with complete information about their position in the sequence and full disclosure of previous requests; In thepositionalprotocol, requests are made with precise information on one's position in the sequence order, but without disclosing the requests of previous players; Finally, under thecumulativeprotocol, subject make requests with complete information regarding the total previous requests, but do not know their exact position in the sequence. We found a significant ""position effect"" in all three nonsimultaneous protocols: Mean individual requests and position in the sequence are negatively correlated, reflecting an ""early mover advantage"" and a ""late mover handicap."" The effect is weakest in the positional protocol, whereas the sequential and cumulative protocols are, practically, identical. We conclude that although position effects can be induced by temporal priority, they are primarily driven by differential patterns of information regarding the behavior of the other group members. Although the request pattern was consistent with predictions based on the subjects' social orientation, the differences were not quite as pronounced (and significant) as in the ""regular"" simultaneous dilemmas. On the other hand, we found that the subjects' requests in the simultaneous protocol were an accurate predictor of their behavior in the other protocols as well.",,Organizational Behavior and Human Decision Processes,69,3,31,,"['pub.1037087187', 'pub.1003690336', 'pub.1064530209', 'pub.1014031821', 'pub.1049872294', 'pub.1031873810', 'pub.1058575079', 'pub.1021010490', 'pub.1005336122', 'pub.1041620738', 'pub.1019590876', 'pub.1027042951', 'pub.1038492659', 'pub.1029916260', 'pub.1043010532', 'pub.1069641248', 'pub.1001062742', 'pub.1024201863', 'pub.1006727507', 'pub.1046420097', 'pub.1037721036', 'pub.1046123413', 'pub.1053905437', 'pub.1011343128', 'pub.1002735289', 'pub.1018668002', 'pub.1033749952', 'pub.1099258654', 'pub.1064531293', 'pub.1042595885', 'pub.1052731855', 'pub.1046118026', 'pub.1013702671', 'pub.1036089586']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
63,Reactions to group success and failure as a function of identification level: a test of the goal-transformation hypothesis in social dilemmas,"David De Cremer, Eric van Dijk",Elsevier,2002-09,10.1016/s0022-1031(02)00009-4,pub.1026090196,"This study examined the combined effects of identification level, social value orientation, and feedback on contributions in a public goods dilemma. Previous research has shown that strengthening group identity promotes cooperation. One explanation for this finding is that a strong group identity transforms people's motives from the personal to the collective level (the goal transformation hypothesis). Evidence for this hypothesis can be found in studies showing that a strong sense of group identity influences proselfs, relative to prosocials, to make larger contributions. In this experiment, we demonstrated that these findings are restricted to situations in which no feedback about a group's performance is provided. When performance feedback is provided, a strong group identity cancels the effects of individual differences in social value orientations. In particular, when a group fails, contributions increase if group identity is salient, but decrease if personal identity is salient, regardless of a person's social value orientation. But when a group succeeds, no differences between group and personal identity are found. These results are discussed in terms of the goal transformation hypothesis.","This research was supported by a fellowship of the Netherlands Organization for Scientific Research (NOW, Grant No. 016.005.019) awarded to the first author. The authors wish to thank Ester van Eijck for her help in collecting the data.",Journal of Experimental Social Psychology,38,5,80,,"['pub.1099321222', 'pub.1040529180', 'pub.1003400446', 'pub.1005336122', 'pub.1036486759', 'pub.1038396774', 'pub.1014247200', 'pub.1070093944', 'pub.1026694145', 'pub.1028038344', 'pub.1006674865', 'pub.1003817922', 'pub.1004915033', 'pub.1057905922', 'pub.1005415554', 'pub.1033573994', 'pub.1070094007', 'pub.1018923612', 'pub.1004884886', 'pub.1034930552', 'pub.1069908142', 'pub.1046737384', 'pub.1011343128', 'pub.1050152626', 'pub.1017267841', 'pub.1035958759', 'pub.1022818952', 'pub.1001835066', 'pub.1033234746', 'pub.1001624746', 'pub.1021515976', 'pub.1037366954', 'pub.1013702671', 'pub.1025122948', 'pub.1070010376']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
64,From Games to Giving: Social Value Orientation Predicts Donations to Noble Causes,"Paul A. M. Van Lange, René Bekkers, Theo N. M. Schuyt, Mark Van Vugt",Taylor & Francis,2007-11-05,10.1080/01973530701665223,pub.1051075208,"The central purpose of the present research is to examine the ability of social value orientation (i.e., prosocial, individualistic, and competitive orientation), as measured with methods rooted in game theory (i.e., decomposed games), to predict real-life prosocial behavior. Consistent with hypotheses, results revealed that individual differences in social value orientation are predictive of various donations. Relative to individualists and competitors, prosocials reported to engage in a greater number of donations, especially donations to organizations aimed at helping the poor and the ill. Results are discussed in terms of theory and methodology regarding the individual differences in social value orientation, as well as in terms of societal implications for enhancing donations to noble causes.",,Basic and Applied Social Psychology,29,4,133,,"['pub.1047096574', 'pub.1003499096', 'pub.1014031821', 'pub.1090058952', 'pub.1024603792', 'pub.1040529180', 'pub.1017305468', 'pub.1003400446', 'pub.1039104853', 'pub.1019590876', 'pub.1092130014', 'pub.1014949922', 'pub.1015465163', 'pub.1014354271', 'pub.1026694145', 'pub.1028742909', 'pub.1022578283', 'pub.1027032646', 'pub.1011686955', 'pub.1057905922', 'pub.1002131319', 'pub.1040567912', 'pub.1018923612', 'pub.1053896224', 'pub.1037910079', 'pub.1007681197', 'pub.1023674877', 'pub.1007435127', 'pub.1050152626', 'pub.1017267841', 'pub.1036736941', 'pub.1031342771', 'pub.1046177216', 'pub.1049051451', 'pub.1013702671', 'pub.1025122948', 'pub.1051504987', 'pub.1049012862']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
65,"Communication, Commitment, and Cooperation in Social Dilemmas","Norbert L. Kerr, Cynthia M. Kaufman-Gilliland",American Psychological Association (APA),1994,10.1037/0022-3514.66.3.513,pub.1012738464,"Intragroup communication promotes cooperation in social dilemmas. Two explanations are plausible: Discussion may (a) enhance feelings of group identity or (b) induce commitments to cooperate. Some remedies for social dilemmas (like group communication) may be subclassified as public-welfare remedies (of which enhanced group identity is an example) versus cooperation-contingent remedies (of which commitment is an example). The efficacy of a cooperative act for enhancing the collective welfare should moderate remedies of the former but not the latter type. An experiment is reported in which group communication and the efficacy of cooperation were manipulated. As expected if communication induced commitments, but contrary to the group identity explanation, efficacy did not moderate the effect of group discussion. Other analyses provided more direct evidence that group members made and honored commitments to cooperate.",,Journal of Personality and Social Psychology,66,3,252,,"['pub.1037087187', 'pub.1037975391', 'pub.1003690336', 'pub.1018795064', 'pub.1050643685', 'pub.1030204990', 'pub.1013955276', 'pub.1031873810', 'pub.1041673788', 'pub.1001878944', 'pub.1005336122', 'pub.1043001160', 'pub.1063626039', 'pub.1054865911', 'pub.1024012146', 'pub.1063625921', 'pub.1015045367', 'pub.1042824146', 'pub.1063626283', 'pub.1047358767', 'pub.1010518077', 'pub.1005009803', 'pub.1024201863', 'pub.1039157658', 'pub.1037007123', 'pub.1034977559', 'pub.1000397883', 'pub.1005415554', 'pub.1006080792', 'pub.1029028918', 'pub.1018923612', 'pub.1031702139', 'pub.1010141235', 'pub.1044355197', 'pub.1042733896', 'pub.1102895798', 'pub.1058546592', 'pub.1058603240', 'pub.1045331490', 'pub.1033118347', 'pub.1002026222', 'pub.1044572778', 'pub.1035155210', 'pub.1056630101', 'pub.1014249595', 'pub.1010833664', 'pub.1020660454', 'pub.1080798853', 'pub.1035937488', 'pub.1039180689', 'pub.1058601586', 'pub.1013702671', 'pub.1048948613', 'pub.1033036737', 'pub.1016899831']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
66,"Value Orientations, Expectations and Voluntary Contributions in Public Goods","Theo Offerman, Joep Sonnemans, Arthur Schram",Oxford University Press (OUP),1996-07,10.2307/2235360,pub.1069848810,,,The Economic Journal,106,437,269,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
67,A Conceptual Review of Decision Making in Social Dilemmas: Applying a Logic of Appropriateness,"J. Mark Weber, Shirli Kopelman, David M. Messick",SAGE Publications,2004-08,10.1207/s15327957pspr0803_4,pub.1064222221,"Despite decades of experimental social dilemma research, ""theoretical integration has proven elusive"" (Smithson & Foddy, 1999, p. 14). To advance a theory of decision making in social dilemmas, this article provides a conceptual review of the literature that applies a ""logic of appropriateness"" (March, 1994) framework. The appropriateness framework suggests that people making decisions ask themselves (explicitly or implicitly), ""What does a person like me do in a situation like this? "" This question identifies 3 significant factors: recognition and classification of the kind of situation encountered, the identity of the individual making the decision, and the application of rules or heuristics in guiding behavioral choice. In contrast with dominant rational choice models, the appropriateness framework proposed accommodates the inherently social nature of social dilemmas, and the role of rule and heuristic based processing. Implications for the interpretation of past findings and the direction of future research are discussed.",,Personality and Social Psychology Review,8,3,325,"['Communication', 'Decision Making', 'Female', 'Group Processes', 'Humans', 'Logic', 'Male', 'Sex Factors', 'Social Behavior', 'Social Identification']","['pub.1050617223', 'pub.1031593927', 'pub.1049947580', 'pub.1069757815', 'pub.1031873810', 'pub.1022522142', 'pub.1043001160', 'pub.1034582388', 'pub.1043457829', 'pub.1005550954', 'pub.1013352971', 'pub.1012820660', 'pub.1039704038', 'pub.1069847761', 'pub.1019680597', 'pub.1018031038', 'pub.1005874029', 'pub.1011764984', 'pub.1045073929', 'pub.1016236028', 'pub.1046274892', 'pub.1050152626', 'pub.1069769004', 'pub.1036236394', 'pub.1026897379', 'pub.1012170576', 'pub.1070093753', 'pub.1023419539', 'pub.1025122948', 'pub.1023600022', 'pub.1018782541', 'pub.1069908724', 'pub.1015304557', 'pub.1000029050', 'pub.1036284779', 'pub.1004025606', 'pub.1058752420', 'pub.1021010490', 'pub.1012738464', 'pub.1038106180', 'pub.1012369172', 'pub.1004809367', 'pub.1005116128', 'pub.1016406490', 'pub.1049805607', 'pub.1052168771', 'pub.1010383960', 'pub.1003817922', 'pub.1069751657', 'pub.1042733896', 'pub.1002501103', 'pub.1018068206', 'pub.1070093827', 'pub.1001835066', 'pub.1008572047', 'pub.1042595885', 'pub.1070051306', 'pub.1049051451', 'pub.1046118026', 'pub.1013702671', 'pub.1046958390', 'pub.1102192427', 'pub.1070093956', 'pub.1000593842', 'pub.1044130908', 'pub.1038698700', 'pub.1036486759', 'pub.1032365697', 'pub.1043010532', 'pub.1026694145', 'pub.1111485494', 'pub.1069641248', 'pub.1001062742', 'pub.1026291002', 'pub.1018923612', 'pub.1040456327', 'pub.1052198485', 'pub.1007480799', 'pub.1022163412', 'pub.1049963917', 'pub.1004837823', 'pub.1006817493', 'pub.1008779882', 'pub.1017069005', 'pub.1045142327', 'pub.1041204272', 'pub.1016076824', 'pub.1022547559', 'pub.1030959827', 'pub.1014037876', 'pub.1029231558', 'pub.1004224512', 'pub.1063626398', 'pub.1047096574', 'pub.1037087187', 'pub.1053394151', 'pub.1003400446', 'pub.1033196019', 'pub.1007415411', 'pub.1069669882', 'pub.1027042951', 'pub.1015045367', 'pub.1002773156', 'pub.1024916730', 'pub.1069625960', 'pub.1002131319', 'pub.1018502480', 'pub.1034552014', 'pub.1023823518', 'pub.1069908142', 'pub.1046737384', 'pub.1064222178', 'pub.1009001149', 'pub.1063741174', 'pub.1002026222', 'pub.1064530071', 'pub.1009015561', 'pub.1024316490', 'pub.1034266650', 'pub.1038155293']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
68,The Effects of Communication and Commitment in a Public Goods Social Dilemma,"Xiao-ping Chen, S.S. Komorita",Elsevier,1994-12,10.1006/obhd.1994.1090,pub.1002555828,"A social dilemma is a situation in which members of a group are faced with a conflict between maximizing personal interests and maximizing collective interests. Communication among the members of a group has been shown to enhance cooperation (maximize groups interests); it was hypothesized that if members are allowed to make a pledge prior to their actual decision, they can communicate their intentions and hence increase the cooperation rate. Two experiments were conducted in which several types of pledge conditions were contrasted with a ""no-pledge"" (control) condition. As hypothesized, the results indicate that a pledge enhanced cooperation. However, the degree of commitment required in the pledge differentially affected the cooperation rate. The results are interpreted in terms of a two-stage dilemma in which members can coordinate their expectations only if some degree of commitment is required in their pledge.",,Organizational Behavior and Human Decision Processes,60,3,60,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
